Verb,Tense,Person,English,Kurdish (Latin),Kurdish (Arabic)
Kick Out,Past,They,They kicked out, ew derêxistin,ئەو دەرێخستن
Kick Out,Present,I,I kick out,ez  di derêxim,ئەز د دەرێخم
Kick Out,Present,You,You kick out,tu  di derêxî,تو د دەرێخی
Kick Out,Present,He/She,He/She kicks out,ew  di derêxit,ئەو د دەرێخیت
Kick Out,Present,We,We kick out,em  di derêxîn,ئەم د دەرێخین
Kick Out,Present,You (pl.),You kick out,hîn  di derêxin,ھین د دەرێخن
Kick Out,Present,They,They kick out,ew  di derêxin,ئەو د دەرێخن
Kick Out,Future,I,I will kick out,ez dê  derêxim,ئەز دێ دەرێخم
Kick Out,Future,You,You will kick out,tu dê  derêxî,تو دێ دەرێخی
Kick Out,Future,He/She,He/She will kick out,ew dê  derêxit,ئەو دێ دەرێخیت
Kick Out,Future,We,We will kick out,em dê  derêxîn,ئەم دێ دەرێخین
Kick Out,Future,You (pl.),You will kick out,hîn dê  derêxin,ھین دێ دەرێخن
Kick Out,Future,They,They will kick out,ew dê  derêxin,ئەو دێ دەرێخن
Kidnap,Past,I,I kidnapped, ez xetaf kirim,ئەز خەتاف كرم
Kidnap,Past,You,You kidnapped, tu xetaf kirî,تو خەتاف كری
Kidnap,Past,He/She,He/She kidnapped, ew xetaf kir,ئەو خەتاف كر
Kidnap,Past,We,We kidnapped, em xetaf kirîn,ئەم خەتاف كرین
Kidnap,Past,You (pl.),You kidnapped, hîn xetaf kirin,ھین خەتاف كرن
Kidnap,Past,They,They kidnapped, ew xetaf kirin,ئەو خەتاف كرن
Kidnap,Present,I,I kidnap,ez  xetaf di kem,ئەز خەتاف د كەم
Kidnap,Present,You,You kidnap,tu  xetaf di key,تو خەتاف د كەی
Kidnap,Present,He/She,He/She kidnaps,ew  xetaf di ket,ئەو خەتاف د كەت
Kidnap,Present,We,We kidnap,em  xetaf di keyn,ئەم خەتاف د كەین
Kidnap,Present,You (pl.),You kidnap,hîn  xetaf di ken,ھین خەتاف د كەن
Kidnap,Present,They,They kidnap,ew  xetaf di ken,ئەو خەتاف د كەن
Kidnap,Future,I,I will kidnap,ez dê  xetaf kem,ئەز دێ خەتاف كەم
Kidnap,Future,You,You will kidnap,tu dê  xetaf key,تو دێ خەتاف كەی
Kidnap,Future,He/She,He/She will kidnap,ew dê  xetaf ket,ئەو دێ خەتاف كەت
Kidnap,Future,We,We will kidnap,em dê  xetaf keyn,ئەم دێ خەتاف كەین
Kidnap,Future,You (pl.),You will kidnap,hîn dê  xetaf ken,ھین دێ خەتاف كەن
Kidnap,Future,They,They will kidnap,ew dê  xetaf ken,ئەو دێ خەتاف كەن
Kill,Past,I,I killed, ez kuştim,ئەز كوشتم
Kill,Past,You,You killed, tu kuştî,تو كوشتی
Kill,Past,He/She,He/She killed, ew kuşt,ئەو كوشت
Kill,Past,We,We killed, em kuştîn,ئەم كوشتین
Kill,Past,You (pl.),You killed, hîn kuştin,ھین كوشتن
Kill,Past,They,They killed, ew kuştin,ئەو كوشتن
Kill,Present,I,I kill,ez  di kujim,ئەز د كوژم
Kill,Present,You,You kill,tu  di kujî,تو د كوژی
Kill,Present,He/She,He/She kills,ew  di kujit,ئەو د كوژیت
Kill,Present,We,We kill,em  di kujîn,ئەم د كوژین
Kill,Present,You (pl.),You kill,hîn  di kujin,ھین د كوژن
Kill,Present,They,They kill,ew  di kujin,ئەو د كوژن
Kill,Future,I,I will kill,ez dê  kujim,ئەز دێ كوژم
Kill,Future,You,You will kill,tu dê  kujî,تو دێ كوژی
Kill,Future,He/She,He/She will kill,ew dê  kujit,ئەو دێ كوژیت
Kill,Future,We,We will kill,em dê  kujîn,ئەم دێ كوژین
Kill,Future,You (pl.),You will kill,hîn dê  kujin,ھین دێ كوژن
Kill,Future,They,They will kill,ew dê  kujin,ئەو دێ كوژن
Kiss,Past,I,I kissed, ez maçî kirim,ئەز ماچی كرم
Kiss,Past,You,You kissed, tu maçî kirî,تو ماچی كری
Kiss,Past,He/She,He/She kissed, ew maçî kir,ئەو ماچی كر
Kiss,Past,We,We kissed, em maçî kirîn,ئەم ماچی كرین
Kiss,Past,You (pl.),You kissed, hîn maçî kirin,ھین ماچی كرن
Kiss,Past,They,They kissed, ew maçî kirin,ئەو ماچی كرن
Kiss,Present,I,I kiss,ez  maçî di kem,ئەز ماچی د كەم
Kiss,Present,You,You kiss,tu  maçî di key,تو ماچی د كەی
Kiss,Present,He/She,He/She kisses,ew  maçî di ket,ئەو ماچی د كەت
Kiss,Present,We,We kiss,em  maçî di keyn,ئەم ماچی د كەین
Kiss,Present,You (pl.),You kiss,hîn  maçî di ken,ھین ماچی د كەن
Kiss,Present,They,They kiss,ew  maçî di ken,ئەو ماچی د كەن
Kiss,Future,I,I will kiss,ez dê  maçî kem,ئەز دێ ماچی كەم
Kiss,Future,You,You will kiss,tu dê  maçî key,تو دێ ماچی كەی
Kiss,Future,He/She,He/She will kiss,ew dê  maçî ket,ئەو دێ ماچی كەت
Kiss,Future,We,We will kiss,em dê  maçî keyn,ئەم دێ ماچی كەین
Kiss,Future,You (pl.),You will kiss,hîn dê  maçî ken,ھین دێ ماچی كەن
Kiss,Future,They,They will kiss,ew dê  maçî ken,ئەو دێ ماچی كەن
Know,Past,I,I knew,min zanî,من زانی
Know,Past,You,You knew,te zanî,تە زانی
Know,Past,He/She,He/She knew,ewî/ewê zanî,ئەوی/ئەوێ زانی
Know,Past,We,We knew,me zanî,مە زانی
Know,Past,You (pl.),You knew,hewe zanî,ھەوە زانی
Know,Past,They,They knew,ewan zanî,ئەوان زانی
Know,Present,I,I know,ez di zanim,ئەز د زانم
Know,Present,You,You know,tu di zanî,تو د زانی
Know,Present,He/She,He/She knows,ew di zanit,ئەو د زانیت
Know,Present,We,We know,em di zanîn,ئەم د زانین
Know,Present,You (pl.),You know,hîn di zanin,ھین د زانن
Know,Present,They,They know,ew di zanin,ئەو د زانن
Know,Future,I,I will know,ez dê zanim,ئەز دێ زانم
Know,Future,You,You will know,tu dê zanî,تو دێ زانی
Know,Future,He/She,He/She will know,ew dê zanit,ئەو دێ زانیت
Know,Future,We,We will know,em dê zanîn,ئەم دێ زانین
Know,Future,You (pl.),You will know,hîn dê zanin,ھین دێ زانن
Know,Future,They,They will know,ew dê zanin,ئەو دێ زانن
Know Someone,Past,I,I knew,min  nîawsî,من نیاوسی
Know Someone,Past,You,You knew,te  nîawsî,تە نیاوسی
Know Someone,Past,He/She,He/She knew,ewî/ewê  nîawsî,ئەوی/ئەوێ نیاوسی
Know Someone,Past,We,We knew,me   nîawsîn,مە  نیاوسین
Know Someone,Past,You (pl.),You knew,hewe  nîawsîn,ھەوە نیاوسین
Know Someone,Past,They,They knew,ewan  nîawsîn,ئەوان نیاوسین
Know Someone,Present,I,I know,ez  di nîawsim,ئەز د نیاوسم
Know Someone,Present,You,You know,tu  di nîawsî,تو د نیاوسی
Know Someone,Present,He/She,He/She knows,ew  di nîawsit,ئەو د نیاوسیت
Know Someone,Present,We,We know,em  di nîawsîn,ئەم د نیاوسین
Know Someone,Present,You (pl.),You know,hîn  di nîawsin,ھین د نیاوسن
Know Someone,Present,They,They know,ew  di nîawsin,ئەو د نیاوسن
Know Someone,Future,I,I will know,ez dê  nîawsim,ئەز دێ نیاوسم
Know Someone,Future,You,You will know,tu dê  nîawsî,تو دێ نیاوسی
Know Someone,Future,He/She,He/She will know,ew dê  nîawsit,ئەو دێ نیاوسیت
Know Someone,Future,We,We will know,em dê  nîawsîn,ئەم دێ نیاوسین
Know Someone,Future,You (pl.),You will know,hîn dê  nîawsin,ھین دێ نیاوسن
Know Someone,Future,They,They will know,ew dê  nîawsin,ئەو دێ نیاوسن
Land,Past,I,I landed,&lt;Not Used&gt;,نە
Land,Past,You,You landed,&lt;Not Used&gt;,نە
Land,Past,He/She,He/She landed,ewî/ewê da da,ئەوی/ئەوێ دا دا
Land,Past,We,We landed,&lt;Not Used&gt;,نە
Land,Past,You (pl.),You landed,&lt;Not Used&gt;,نە
Land,Past,They,They landed,ewan da dan,ئەوان دا دان
Land,Present,I,I land,&lt;Not Used&gt;,نە
Land,Present,You,You land,&lt;Not Used&gt;,نە
Land,Present,He/She,He/She lands,ew di det,ئەو د دەت
Land,Present,We,We land,&lt;Not Used&gt;,نە
Land,Present,You (pl.),You land,&lt;Not Used&gt;,نە
Land,Present,They,They land,ew di den,ئەو د دەن
Land,Future,I,I will land,&lt;Not Used&gt;,نە
Land,Future,You,You will land,&lt;Not Used&gt;,نە
Land,Future,He/She,He/She will land,ew dê det,ئەو دێ دەت
Land,Future,We,We will land,&lt;Not Used&gt;,نە
Land,Future,You (pl.),You will land,&lt;Not Used&gt;,نە
Land,Future,They,They will land,ew dê den,ئەو دێ دەن
Laugh,Past,I,I laughed,min kire kenî,من كرە كەنی
Laugh,Past,You,You laughed,te kire kenî,تە كرە كەنی
Laugh,Past,He/She,He/She laughed,ewî/ewê kire kenî,ئەوی/ئەوێ كرە كەنی
Laugh,Past,We,We laughed,me kire kenî,مە كرە كەنی
Laugh,Past,You (pl.),You laughed,hewe kire kenî,ھەوە كرە كەنی
Laugh,Past,They,They laughed,ewan kire kenî,ئەوان كرە كەنی
Laugh,Present,I,I laugh,ez di keme kenî,ئەز د كەمە كەنی
Laugh,Present,You,You laugh,tu di keyye kenî,تو د كەییە كەنی
Laugh,Present,He/She,He/She laughs,ew di kete kenî,ئەو د كەتە كەنی
Laugh,Present,We,We laugh,em di keyne kenî,ئەم د كەینە كەنی
Laugh,Present,You (pl.),You laugh,hîn di kene kenî,ھین د كەنە كەنی
Laugh,Present,They,They laugh,ew di kene kenî,ئەو د كەنە كەنی
Laugh,Future,I,I will laugh,ez dê keme kenî,ئەز دێ كەمە كەنی
Laugh,Future,You,You will laugh,tu dê keyye kenî,تو دێ كەییە كەنی
Laugh,Future,He/She,He/She will laugh,ew dê kete kenî,ئەو دێ كەتە كەنی
Laugh,Future,We,We will laugh,em dê keyne kenî,ئەم دێ كەینە كەنی
Laugh,Future,You (pl.),You will laugh,hîn dê kene kenî,ھین دێ كەنە كەنی
Laugh,Future,They,They will laugh,ew dê kene kenî,ئەو دێ كەنە كەنی
Learn,Past,I,I learned,ez ferbum,ئەز فەربوم
Learn,Past,You,You learned,tu ferbuî,تو فەربوی
Learn,Past,He/She,He/She learned,ew ferbu,ئەو فەربو
Learn,Past,We,We learned,em ferbuîn,ئەم فەربوین
Learn,Past,You (pl.),You learned,hîn ferbun,ھین فەربون
Learn,Past,They,They learned,ew ferbun,ئەو فەربون
Learn,Present,I,I learn,ez di ferbim,ئەز د فەربم
Learn,Present,You,You learn,tu di ferbî,تو د فەربی
Learn,Present,He/She,He/She learns,ew di ferbit,ئەو د فەربیت
Learn,Present,We,We learn,em di ferbîn,ئەم د فەربین
Learn,Present,You (pl.),You learn,hîn di ferbin,ھین د فەربن
Learn,Present,They,They learn,ew di ferbin,ئەو د فەربن
Learn,Future,I,I will learn,ez dê ferbim,ئەز دێ فەربم
Learn,Future,You,You will learn,tu dê ferbî,تو دێ فەربی
Learn,Future,He/She,He/She will learn,ew dê ferbit,ئەو دێ فەربیت
Learn,Future,We,We will learn,em dê ferbîn,ئەم دێ فەربین
Learn,Future,You (pl.),You will learn,hîn dê ferbin,ھین دێ فەربن
Learn,Future,They,They will learn,ew dê ferbin,ئەو دێ فەربن
Leave Something,Past,I,I left, ez hêlam,ئەز ھێلام
Leave Something,Past,You,You left, tu hêlay,تو ھێلای
Leave Something,Past,He/She,He/She left, ew hêla,ئەو ھێلا
Leave Something,Past,We,We left, em helayn,ئەم ھەلاین
Leave Something,Past,You (pl.),You left, hîn hêlan,ھین ھێلان
Leave Something,Past,They,They left, ew hêlan,ئەو ھێلان
Leave Something,Present,I,I leave,ez  di hêlim,ئەز د ھێلم
Leave Something,Present,You,You leave,tu  di hêlî,تو د ھێلی
Leave Something,Present,He/She,He/She leaves,ew  di hêlit,ئەو د ھێلیت
Leave Something,Present,We,We leave,em  di hêlîn,ئەم د ھێلین
Leave Something,Present,You (pl.),You leave,hîn  di hêlin,ھین د ھێلن
Leave Something,Present,They,They leave,ew  di hêlin,ئەو د ھێلن
Leave Something,Future,I,I will leave,ez dê  hêlim,ئەز دێ ھێلم
Leave Something,Future,You,You will leave,tu dê  hêlî,تو دێ ھێلی
Leave Something,Future,He/She,He/She will leave,ew dê  hêlit,ئەو دێ ھێلیت
Leave Something,Future,We,We will leave,em dê  hêlîn,ئەم دێ ھێلین
Leave Something,Future,You (pl.),You will leave,hîn dê  hêlin,ھین دێ ھێلن
Leave Something,Future,They,They will leave,ew dê  hêlin,ئەو دێ ھێلن
Lie,Past,I,I lied,min direw kirin,من درەو كرن
Lie,Past,You,You lied,te direw kirin,تە درەو كرن
Lie,Past,He/She,He/She lied,ewî/ewê direw kirin,ئەوی/ئەوێ درەو كرن
Lie,Past,We,We lied,me direw kirin,مە درەو كرن
Lie,Past,You (pl.),You lied,hewe direw kirin,ھەوە درەو كرن
Lie,Past,They,They lied,ewan direw kirin,ئەوان درەو كرن
Lie,Present,I,I lie,ez direwa di kem,ئەز درەوا د كەم
Lie,Present,You,You lie,tu direwa di key,تو درەوا د كەی
Lie,Present,He/She,He/She lies,ew direwa di ket,ئەو درەوا د كەت
Lie,Present,We,We lie,em direwa di keyn,ئەم درەوا د كەین
Lie,Present,You (pl.),You lie,hîn direwa di ken,ھین درەوا د كەن
Lie,Present,They,They lie,ew direwa di ken,ئەو درەوا د كەن
Lie,Future,I,I will lie,ez dê direwa kem,ئەز دێ درەوا كەم
Lie,Future,You,You will lie,tu dê direwa key,تو دێ درەوا كەی
Lie,Future,He/She,He/She will lie,ew dê direwa ket,ئەو دێ درەوا كەت
Lie,Future,We,We will lie,em dê direwa keyn,ئەم دێ درەوا كەین
Lie,Future,You (pl.),You will lie,hîn dê direwa ken,ھین دێ درەوا كەن
Lie,Future,They,They will lie,ew dê direwa ken,ئەو دێ درەوا كەن
Like,Past,I,I liked,min ḧez ji  di kir,من حەز ژ د كر
Like,Past,You,You liked,te ḧez ji  di kir,تە حەز ژ د كر
Like,Past,He/She,He/She liked,ewî/ewê ḧez ji  di kir,ئەوی/ئەوێ حەز ژ د كر
Like,Past,We,We liked,me ḧez ji  di kir,مە حەز ژ د كر
Like,Past,You (pl.),You liked,hewe ḧez ji  di kir,ھەوە حەز ژ د كر
Like,Past,They,They liked,ewan ḧez ji  di kir,ئەوان حەز ژ د كر
Like,Present,I,I like,ez ḧez ji  di kem,ئەز حەز ژ د كەم
Like,Present,You,You like,tu ḧez ji  di key,تو حەز ژ د كەی
Like,Present,He/She,He/She likes,ew ḧez ji  di ket,ئەو حەز ژ د كەت
Like,Present,We,We like,em ḧez ji  di keyn,ئەم حەز ژ د كەین
Like,Present,You (pl.),You like,hîn ḧez ji  di ken,ھین حەز ژ د كەن
Like,Present,They,They like,ew ḧez ji  di ken,ئەو حەز ژ د كەن
Like,Future,I,I will like,ez dê ḧez ji  kem,ئەز دێ حەز ژ كەم
Like,Future,You,You will like,tu  dê ḧez ji  key,تو  دێ حەز ژ كەی
Like,Future,He/She,He/She will like,ew dê ḧez ji  ket,ئەو دێ حەز ژ كەت
Like,Future,We,We will like,em dê ḧez ji  keyn,ئەم دێ حەز ژ كەین
Like,Future,You (pl.),You will like,hîn dê ḧez ji  ken,ھین دێ حەز ژ كەن
Like,Future,They,They will like,ew dê ḧez ji  ken,ئەو دێ حەز ژ كەن
Listen,Past,I,I listened,min guhê xo da ,من گوھێ خو دا
Listen,Past,You,You listened,te guhê xo da ,تە گوھێ خو دا
Listen,Past,He/She,He/She listened,ewî/ewê guhê xo da ,ئەوی/ئەوێ گوھێ خو دا
Listen,Past,We,We listened,me guhê xo da ,مە گوھێ خو دا
Listen,Past,You (pl.),You listened,hewe guhê xo da ,ھەوە گوھێ خو دا
Listen,Past,They,They listened,ewan guhê xo da ,ئەوان گوھێ خو دا
Listen,Present,I,I listen,ez guhê xo di dem(e OW),ئەز گوھێ خو د دەم
Listen,Present,You,You listen,tu guhê xo di dey(e OW),تو گوھێ خو د دەی
Listen,Present,He/She,He/She listens,ew guhê xo di det(e OW),ئەو گوھێ خو د دەت
Listen,Present,We,We listen,em guhê xo di deyn(e OW),ئەم گوھێ خو د دەین
Listen,Present,You (pl.),You listen,hîn guhê xo di den(e OW),ھین گوھێ خو د دەن
Listen,Present,They,They listen,ew guhê xo di den(e OW),ئەو گوھێ خو د دەن
Listen,Future,I,I will listen,ez dê guhê xo dem(e OW),ئەز دێ گوھێ خو دەم
Listen,Future,You,You will listen,tu dê guhê xo dey(e OW),تو دێ گوھێ خو دەی
Listen,Future,He/She,He/She will listen,ew dê guhê xo det(e OW),ئەو دێ گوھێ خو دەت
Listen,Future,We,We will listen,em dê guhê xo deyn(e OW),ئەم دێ گوھێ خو دەین
Listen,Future,You (pl.),You will listen,hîn dê guhê xo den(e OW),ھین دێ گوھێ خو دەن
Listen,Future,They,They will listen,dê guhê xo den(e OW),دێ گوھێ خو دەن
Live,Past,I,I lived,ez jîyam,ئەز ژییام
Live,Past,You,You lived,tu jîyî,تو ژییی
Live,Past,He/She,He/She lived,ew jîya,ئەو ژییا
Live,Past,We,We lived,em jîyîn,ئەم ژییین
Live,Past,You (pl.),You lived,hîn jîyin,ھین ژیین
Live,Past,They,They lived,ew jîyin,ئەو ژیین
Live,Present,I,I live,ez di jîm,ئەز د ژیم
Live,Present,You,You live,tu di jî,تو د ژی
Live,Present,He/She,He/She lives,ew di jît,ئەو د ژیت
Live,Present,We,We live,em di jîn,ئەم د ژین
Live,Present,You (pl.),You live,hîn di jîn,ھین د ژین
Live,Present,They,They live,ew di jîn,ئەو د ژین
Live,Future,I,I will live,ez dê jîm,ئەز دێ ژیم
Live,Future,You,You will live,tu dê jî,تو دێ ژی
Live,Future,He/She,He/She will live,ew dê jît,ئەو دێ ژیت
Live,Future,We,We will live,em dê jîn,ئەم دێ ژین
Live,Future,You (pl.),You will live,hîn dê jîn,ھین دێ ژین
Live,Future,They,They will live,ew dê jîn,ئەو دێ ژین
Load,Past,I,I loaded,min  bar kir,من بار كر
Load,Past,You,You loaded,te  bar kir,تە بار كر
Load,Past,He/She,He/She loaded,ewî/ewê  bar kir,ئەوی/ئەوێ بار كر
Load,Past,We,We loaded,me  bar kir,مە بار كر
Load,Past,You (pl.),You loaded,hewe  bar kir,ھەوە بار كر
Load,Past,They,They loaded,ewan  bar kir,ئەوان بار كر
Load,Present,I,I load,ez  bar di kem,ئەز بار د كەم
Load,Present,You,You load,tu  bar di key,تو بار د كەی
Load,Present,He/She,He/She loads,ew  bar di ket,ئەو بار د كەت
Load,Present,We,We load,em  bar di keyn,ئەم بار د كەین
Load,Present,You (pl.),You load,hîn  bar di ken,ھین بار د كەن
Load,Present,They,They load,ew  bar di ken,ئەو بار د كەن
Load,Future,I,I will load,ez dê  bar kem,ئەز دێ بار كەم
Load,Future,You,You will load,tu dê  bar key,تو دێ بار كەی
Load,Future,He/She,He/She will load,ew dê  bar ket,ئەو دێ بار كەت
Load,Future,We,We will load,em dê  bar keyn,ئەم دێ بار كەین
Load,Future,You (pl.),You will load,hîn dê  bar ken,ھین دێ بار كەن
Load,Future,They,They will load,ew dê  bar ken,ئەو دێ بار كەن
Look At,Past,I,I looked at,min seḧ kir(e OW),من سەح كر
Look At,Past,You,You looked at,te seḧ kir(e OW),تە سەح كر
Look At,Past,He/She,He/She looked at,ewî/ewê seḧ kir(e OW),ئەوی/ئەوێ سەح كر
Look At,Past,We,We looked at,me seḧ kir(e OW),مە سەح كر
Look At,Past,You (pl.),You looked at,hîn seḧ kir(e OW),ھین سەح كر
Look At,Past,They,They looked at,ewan seḧ kir(e OW),ئەوان سەح كر
Look At,Present,I,I look at,ez seḧ di kem(e OW),ئەز سەح د كەم
Look At,Present,You,You look at,tu seḧ di key(ye OW),تو سەح د كەی
Look At,Present,He/She,He/She looks at,ew seḧ di ket(e OW),ئەو سەح د كەت
Look At,Present,We,We look at,em seḧ di keyn(e OW),ئەم سەح د كەین
Look At,Present,You (pl.),You look at,hîn seḧ di ken(e OW),ھین سەح د كەن
Look At,Present,They,They look at,ew seḧ di ken(e OW),ئەو سەح د كەن
Look At,Future,I,I will look at,ez dê seḧ kem(e OW),ئەز دێ سەح كەم
Look At,Future,You,You will look at,tu dê seḧ key(ye OW),تو دێ سەح كەی
Look At,Future,He/She,He/She will look at,ew dê seḧ ket(e OW),ئەو دێ سەح كەت
Look At,Future,We,We will look at,em dê seḧ keyn(e OW),ئەم دێ سەح كەین
Look At,Future,You (pl.),You will look at,hîn dê seḧ ken(e OW),ھین دێ سەح كەن
Look At,Future,They,They will look at,ew dê seḧ ken(e OW),ئەو دێ سەح كەن
Look For,Past,I,I looked for,min li  gerîya,من ل گەرییا
Look For,Past,You,You looked for,te li  gerîya,تە ل گەرییا
Look For,Past,He/She,He/She looked for,ewî/ewê li  gerîya,ئەوی/ئەوێ ل گەرییا
Look For,Past,We,We looked for,me li  gerîyan,مە ل گەرییان
Look For,Past,You (pl.),You looked for,hewe li  gerîyan,ھەوە ل گەرییان
Look For,Past,They,They looked for,ewan li  gerîyan,ئەوان ل گەرییان
Look For,Present,I,I look for,ez li  di gerîyim,ئەز ل د گەرییم
Look For,Present,You,You look for,tu li  di gerîyî,تو ل د گەرییی
Look For,Present,He/She,He/She looks for,ew li  di gerîyit,ئەو ل د گەریییت
Look For,Present,We,We look for,em li  di gerîyîn,ئەم ل د گەرییین
Look For,Present,You (pl.),You look for,hîn li  di gerîyin,ھین ل د گەریین
Look For,Present,They,They look for,ew li  di gerîyin,ئەو ل د گەریین
Look For,Future,I,I will look for,ez dê li  gerîyim,ئەز دێ ل گەرییم
Look For,Future,You,You will look for,tu dê li  gerîyî,تو دێ ل گەرییی
Look For,Future,He/She,He/She will look for,ew dê li  gerîyit,ئەو دێ ل گەریییت
Look For,Future,We,We will look for,em dê li  gerîyîn,ئەم دێ ل گەرییین
Look For,Future,You (pl.),You will look for,hîn dê li  gerîyin,ھین دێ ل گەریین
Look For,Future,They,They will look for,ew dê li  gerîyin,ئەو دێ ل گەریین
Loosen,Past,I,I loosened,&lt;Not Used&gt;,نە
Loosen,Past,You,You loosened,&lt;Not Used&gt;,نە
Loosen,Past,He/She,He/She loosened, ew sist kir,ئەو سست كر
Loosen,Past,We,We loosened,&lt;Not Used&gt;,نە
Loosen,Past,You (pl.),You loosened,&lt;Not Used&gt;,نە
Loosen,Past,They,They loosened, ew sist kirin,ئەو سست كرن
Loosen,Present,I,I loosen,ez  di sist kem,ئەز د سست كەم
Loosen,Present,You,You loosen,tu  di sist key,تو د سست كەی
Loosen,Present,He/She,He/She loosens,ew  di sist ket,ئەو د سست كەت
Loosen,Present,We,We loosen,em  di sist keyn,ئەم د سست كەین
Loosen,Present,You (pl.),You loosen,hîn  di sist ken,ھین د سست كەن
Loosen,Present,They,They loosen,ew  di sist ken,ئەو د سست كەن
Loosen,Future,I,I will loosen,ez dê  sist kem,ئەز دێ سست كەم
Loosen,Future,You,You will loosen,tu dê  sist key,تو دێ سست كەی
Loosen,Future,He/She,He/She will loosen,ew dê  sist ket,ئەو دێ سست كەت
Loosen,Future,We,We will loosen,em dê  sist keyn,ئەم دێ سست كەین
Loosen,Future,You (pl.),You will loosen,hîn dê  sist ken,ھین دێ سست كەن
Loosen,Future,They,They will loosen,ew dê  sist ken,ئەو دێ سست كەن
Lose,Past,I,I lost,ez (di OW da) xosaret bum,ئەز خوسارەت بوم
Lose,Past,You,You lost,tu (di OW da) xosaret buî,تو خوسارەت بوی
Lose,Past,He/She,He/She lost,ew (di OW da) xosaret bu,ئەو خوسارەت بو
Lose,Past,We,We lost,em (di OW da) xosaret buîn,ئەم خوسارەت بوین
Lose,Past,You (pl.),You lost,hîn (di OW da) xosaret bun,ھین خوسارەت بون
Lose,Past,They,They lost,ew (di OW da) xosaret bun,ئەو خوسارەت بون
Lose,Present,I,I lose,ez (di OW da) xosaret di bim,ئەز خوسارەت د بم
Lose,Present,You,You lose,tu (di OW da) xosaret di bî,تو خوسارەت د بی
Lose,Present,He/She,He/She loses,ew (di OW da) xosaret di bit,ئەو خوسارەت د بیت
Lose,Present,We,We lose,em (di OW da) xosaret di bîn,ئەم خوسارەت د بین
Lose,Present,You (pl.),You lose,hîn (di OW da) xosaret di bin,ھین خوسارەت د بن
Lose,Present,They,They lose,ew (di OW da) xosaret di bin,ئەو خوسارەت د بن
Lose,Future,I,I will lose,ez dê (di OW da) xosaret bim,ئەز دێ خوسارەت بم
Lose,Future,You,You will lose,tu dê (di OW da) xosaret bî,تو دێ خوسارەت بی
Lose,Future,He/She,He/She will lose,ew dê (di OW da) xosaret bit,ئەو دێ خوسارەت بیت
Lose,Future,We,We will lose,em dê (di OW da) xosaret bîn,ئەم دێ خوسارەت بین
Lose,Future,You (pl.),You will lose,hîn dê (di OW da) xosaret bin,ھین دێ خوسارەت بن
Lose,Future,They,They will lose,ew dê (di OW da) xosaret bin,ئەو دێ خوسارەت بن
Lose Something,Past,I,I lost, ez berze kirim,ئەز بەرزە كرم
Lose Something,Past,You,You lost, tu berze kirî,تو بەرزە كری
Lose Something,Past,He/She,He/She lost, ew berze kir,ئەو بەرزە كر
Lose Something,Past,We,We lost, em berze kirîn,ئەم بەرزە كرین
Lose Something,Past,You (pl.),You lost, hîn berze kirin,ھین بەرزە كرن
Lose Something,Past,They,They lost, ew berze kirin,ئەو بەرزە كرن
Lose Something,Present,I,I lose,ez  berze di kem,ئەز بەرزە د كەم
Lose Something,Present,You,You lose,tu  berze di key,تو بەرزە د كەی
Lose Something,Present,He/She,He/She loses,ew  berze di ket,ئەو بەرزە د كەت
Lose Something,Present,We,We lose,em  berze di keyn,ئەم بەرزە د كەین
Lose Something,Present,You (pl.),You lose,hîn  berze di ken,ھین بەرزە د كەن
Lose Something,Present,They,They lose,ew  berze di ken,ئەو بەرزە د كەن
Lose Something,Future,I,I will lose,ez dê  berze kem,ئەز دێ بەرزە كەم
Lose Something,Future,You,You will lose,tu dê  berze key,تو دێ بەرزە كەی
Lose Something,Future,He/She,He/She will lose,ew dê  berze ket,ئەو دێ بەرزە كەت
Lose Something,Future,We,We will lose,em dê  berze keyn,ئەم دێ بەرزە كەین
Lose Something,Future,You (pl.),You will lose,hîn dê  berze ken,ھین دێ بەرزە كەن
Lose Something,Future,They,They will lose,ew dê  berze ken,ئەو دێ بەرزە كەن
Make,Past,I,I made,min  çê kir,من چێ كر
Make,Past,You,You made,te   çê kir,تە  چێ كر
Make,Past,He/She,He/She made,ewî/ewê  çê kir,ئەوی/ئەوێ چێ كر
Make,Past,We,We made,me  çê kir,مە چێ كر
Make,Past,You (pl.),You made,hewe  çê kir,ھەوە چێ كر
Make,Past,They,They made,ewan  çê kir,ئەوان چێ كر
Make,Present,I,I make,ez  çê di kem,ئەز چێ د كەم
Make,Present,You,You make,tu  çê di key,تو چێ د كەی
Make,Present,He/She,He/She makes,ew  çê di ket,ئەو چێ د كەت
Make,Present,We,We make,em  çê di keyn,ئەم چێ د كەین
Make,Present,You (pl.),You make,hîn  çê di ken,ھین چێ د كەن
Make,Present,They,They make,ew  çê di ken,ئەو چێ د كەن
Make,Future,I,I will make,ez dê  çê kem,ئەز دێ چێ كەم
Make,Future,You,You will make,tu dê  çê key,تو دێ چێ كەی
Make,Future,He/She,He/She will make,ew dê  çê ket,ئەو دێ چێ كەت
Make,Future,We,We will make,em dê  çê keyn,ئەم دێ چێ كەین
Make,Future,You (pl.),You will make,hîn dê  çê ken,ھین دێ چێ كەن
Make,Future,They,They will make,ew dê  çê ken,ئەو دێ چێ كەن
Make A Hole,Past,I,I made a hole,min  kun kir,من كون كر
Make A Hole,Past,You,You made a hole,te  kun kir,تە كون كر
