English,Kurdish (Latin),Kurdish (Arabic Script),Arabic,Transliteration
radio,radiyu,رادیو,راديو,raduyu
plumb,şaqûl,شاقوول,راسيا,kr peev
plumb,kur pîv,كور پیڤ,راسيا,kr peev
plumb,wezin,وه‌زن,راسيا,kr peev
satisfied,razî,رازی,راض,razee
jack,helgir,ھەلگر,رافعة,ḧelgur
lever,helger,ھەلگەر,رافعة,ḧelger
monitor (v),zêrevanî kirin,زێره‌ڤانی کرن,راقب,zêrevanee krun
monitor (v),rêzik kirin,ڕێزک کرن,راقب,rêzuk krun
watch,temaşe kirin,ته‌ماشه‌ کرن,راقب,temashe krun
watch,çav lê gerandin,چاڤ لێ گه‌راندن,راقب,chav lê gerandun
watch,seh kirin,سه‌ھ کرن,راقب,seḧ krun
watch,nerîn,نه‌رین,راقب,nereen
watch (v),seḧ kirin,سەح کرن,راقب,seḧ krun
dancer,leyzîner,لەیزینەر,راقصة,leyzeener
dancing girl,semaker,سەماكەر,راقصة,semaker
belly dancer,reqîse,رەقیسە,راقصه شرقيه,reqeese
occupant,dagirker,داگرکه‌ر,راكب,dagurker
occupant,nşîn,نشین,راكب,nsheen
passenger,"geşitiyar , neferî",گەشتیار ، نە‌فەری,راكب,"geshutuyar , neferee"
rider,siwarî,سواری,راكب,suwaree
stagnate,peng bûn,په‌نگ بوون,راكد,peng bûn
stagnate,mend bûn,مه‌ند بوون,راكد,mend bûn
monk,qeşe,قەشە,راھب,qeshe
nun,reben,رەبەن,راھبة,reben
rhubarb,"rêvas, rêvaz",ڕێڤاس، ڕێڤاز,راوند,"rêvas, rêvaz"
teller,pareghur,پارەگھور,راوي,paregḧur
Lord,xudan,خودان,رب,xudan
shoelace,qeytana pêlavê,قەیتانا پێلاڤێ,رباط الحذاء,qeytana pêlavê
housewife,jinika berimalê,ژنكا بەرمالێ,ربة البيت,zhunuka berumalê
gain,bi dest xistin,ب ده‌ست خستن,ربح,bu dest xustun
gain,qazanc kirin,قازانج کرن,ربح,wergurtun
gain,wergirtin,وه‌رگرتن,ربح,wergurtun
profit,feyde,فه‌یدە‌,ربح,feyde
profit,qazanc,قازانج,ربح,qazanj
bind,qeyd kirin,قه‌ید کرن,ربط,grê dan
bind,kirîde,كریدە,ربط,kreede
chain,grê dan,گرێ دان,ربط,grê dan
connect,pêkve bestin,پێکڤه‌ به‌ستن,ربط,pêkve bestun
connect,pêkve girê dan,پێکڤه‌ گرێ دان,ربط,pêkve gurê dan
connect,vebestin,ڤه‌به‌ستن,ربط,vebestun
interconnect,pêk digehînt,پێك دگەھینت,ربط,pêk dugeḧeent
relate,têkldar bûn,تێکلدار بوون,ربط,têkldar bûn
relate,girêdaye pêve,گرێدایە پێڤە,ربط,gurêdaye pêve
tying,girêdan,گرێدان,ربط,gurêdan
necktie,rîbat,ڕیبات,ربطة عنق,geḧushutun
a fourth,"êk ser çar , çarêk",ئێك سەر چار ، چارێك,ربع,"êk ser char , charêk"
a quarter,"êk ser çar , çarêk",ئێك سەر چار ، چارێك,ربع,"êk ser char , charêk"
one-fourth,êk ser çar,ئێك سەر چار,ربع,"êk ser char , charêk"
one-fourth,çarêk,چارێك,ربع,"êk ser char , charêk"
one-quarter,êk ser çar,ئێك سەر چار,ربع,"êk ser char , charêk"
one-quarter,çarêk,چارێك,ربع,"êk ser char , charêk"
quarter,çerêk,چەرئێک,ربع,cherêk
quarter,rib'ek,ربعەک,ربع,rub'ek
maybe,belkî,بەلکی,ربما,belkee
maybe,renge,ره‌نگه‌,ربما,renge
might,belkî,به‌لکی,ربما,belkee
perhaps,belkî,بەلكى,ربما,belkee
nourish,bi xwarin diket,ب خوارن دكەت,ربى,bu xwarun duket
nourish,xwedî kirin,خوه‌دی کرن,ربى,bu xwarun duket
spring,buhar,بوھار,ربيع,buḧar
high rank,payeberiz,پایه‌به‌رز,رتبة عالية,payeberuz
ragged,şaxidar,شاخدار,رث الثياب,shaxudar
lamentation,velûrandin,ڤه‌لووراندن,رثاء,"naleen, velûrandun"
lamentation,nalîn,نالین,رثاء,"naleen, velûrandun"
wise men,moẍan,مۆغان,رجال حكماء,moẍan
reecho,vedan,ڤه‌دان,رجع الصدى,vedan
shiver,lerizîn,لەرزین,رجفة,leruzeen
man,"zelam , mirovek",زەلام ، مرۆڤەک,رجل,"zelam , murovek"
wise man,aqilmendan,ئاقلمەندان,رجل حكيم,aqulmendan
wise man,stêrnas,ستێرناس,رجل حكيم,stêrnas
brave man,qareman,قارەمان,رجل شجاع,"mêruxas , qareman"
brave man,mêrixas,مێرخاس,رجل شجاع,"mêruxas , qareman"
old man,pîre mêr,پیرە مێر,رجل عجوز,peere mêr
strong man,zellamekê hêzdar,زەڵامەكێ هێزدار,رجل قوي,zellamekê ḧêzdar
watchman,pasevan,پاسه‌ڤان,رجل مراقبة,pasevan
watchman,zêrevan,زێره‌ڤان,رجل مراقبة,zêrevan
watchman,"nobedar, nubedar",نۆبه‌دار، نوبه‌دار,رجل مراقبة,"nobedar, nubedar"
manly,mêranî,مێرانى,رجولي,mêranee
journey,rêwîngî,ڕێوینگی,رحلة,rêweengee
journey,ger,گه‌ر,رحلة,ger
voyage,çûn,چوون,رحلة,chûn
womb,reḧem,رەحەم,رحم,reḧem
womb,malbiçwîk,مالبچویك,رحم,malbuchweek
mercy,diluvanî,دلوڤانی,رحمة,duluvanee
mercy,mihrevanî,مهره‌ڤانی,رحمة,muḧrevanee
merciful,diluvan,دلوڤان,رحيم,duluvan
marble,merimer,مەرمەر,رخام,merumer
driver license,îcaze,ئیجازە,رخصة قيادة,eejaze
cheap,erizan,ئەرزان,رخيص,eruzan
pay back,lê vegerandin,لێ ڤه‌گه‌راندن,رد,zhu beer krun
reply,berisiv da,بەرسڤ دا,رد,berusuv da
retort,bersiv,به‌رسڤ,رد حاسم,bersuv
reaction,berikar,بەركار,رد فعل,berukar
reaction,helwest,هه‌لوه‌ست,رد فعل,ḧelwest
reaction,heliwêst,هەلوێست,رد فعل,ḧeluwêst
robe,eba,ئه‌با,رداء,eba
robe,rub,روب,رداء,rub
robe,eba,عه‌با,رداء,eba
package,bestek,بەستەك,رزمة,bestek
package (small),elbik,عەلبك,رزمة,elbuk
packet,"paket, pakêt",پاکه‌ت، پاکێت,رزمة,"paket, pakêt"
letters,pîtekan,پیتەکان,رسائل,peetekan
message,peyam,په‌یام,رسالة,peyam
message,xeber,خه‌به‌ر,رسالة,rusale
message,risale,رسالە,رسالة,rusale
message,mesaj,مه‌ساژ,رسالة,mesazh
invitation,daxazname,داخازنامە,رسالة دعوة,daxazname
painter,buyaxçî,بویاخچى,رسام,buyaxchee
draw,xîçandin,خیچاندن,رسم,weenadukeesheet
draw,wînadikîşît,وینادكیشیت,رسم,weenadukeesheet
drawing,wênekirin,وێنەكرن,رسم,wênekrun
paint,"boyax, boyax kirin",بۆیاخ، بۆیاخ کرن,رسم,"boyax, boyax krun"
paint,boyaẍ,بۆیاغ,رسم,boyaẍ
paint,resimandin,ڕه‌سماندن,رسم,resumandun
paint,"siboq, siboq kirin",سبۆق، سبۆق کرن,رسم,"suboq, suboq krun"
paint,nîgar kirin,نیگار کرن,رسم,neegar krun
paint,wêne jê çêkirin,وێنه‌ ژێ چێکرن,رسم,wêne zhê chêkrun
official,resmî,ڕه‌سمی,رسمي,resmee
official,fermî,فه‌رمی,رسمي,fermee
official,karbedest,کاربەدەست,رسمي,karbedest
official,mîrî,میرى,رسمي,meeree
solemnly,bi heybet,ب هه‌یبه‌ت,رسميا,bu ḧeybet
formal,resmî,ڕه‌سمی,رسمية,resmee
formal,fermî,فه‌رمی,رسمية,fermee
formal,mîrî,میرى,رسمية,meeree
sedimentary,pegirî,په‌گری,رسوبية,peguree
sedimentary,durdî,دوردی,رسوبية,durdee
sedimentary,gerodeyî,گه‌رۆده‌یی,رسوبية,gerodeyee
messenger,peyamber,په‌یامبه‌ر,رسول,peyamber
messenger,resul,رەسول,رسول,resul
Feast of Dedication,cejna nwîkirina perstgehê,جەژنا نویکرنا پەرستگەهێ,رسوم,jezhna nweekruna perstgeḧê
Feast of Passover,cejna derbazbûnê,جەژنا دەربازبوونێ,رسوم,jezhna derbazbûnê
Feast of Unleavened Bread,cejna nanê şkeva,جەژنا نانێ شکەڤا,رسوم,jezhna nanê shkeva
Feast Tabernacles,cejna kepre şînan,جەژنا کەپرە شینان,رسوم,jezhna kepre sheenan
fee,îcar,ئیجار,رسوم,eejar
fee,krê,كرێ,رسوم,krê
fee (pay),ḧeq,حەق,رسوم,ḧeq
fee (rent),îcar,ئیجار,رسوم,eejar
sprinkle,reşandin,ڕه‌شاندن,رش,reshandun
water (v),av dan,ئاڤ دان,رش,av dan
bribe,bertîl,به‌رتیل,رشوة,"bereeteel , reshwe"
bribe,bertîl kirin,به‌رتیل کرن,رشوة,jda
bribe,rişwet,ڕشوه‌ت,رشوة,"bereeteel , reshwe"
limber,nerim,نەرم,رشيق,nerum
nimble,çalak,چالاك,رشيق,chalak
bullet,fîşek,فیشەك,رصاصة,feeshek
observe,çavdêrî lê kirin,چاڤدێری لێ کرن,رصد,zêrevanee duket
observe,zêrevanî diket,زێرەڤانى دكەت,رصد,zêrevanee duket
credit,pêbawerî,پێباوه‌ری,رصيد,pêbaweree
credit,kredî,کره‌دی,رصيد,kredee
credit,hijimartin,ھژمارتن,رصيد,ḧuzhumartun
quay,berav,به‌راڤ,رصيف,ga
pavement,peyaderê,پەیادەرێ,رصيف الشارع,peyaderê
infant,bebek,به‌به‌ک,رضيع,bebek
infant,berşîr,به‌رشیر,رضيع,bersheer
infant,sava,ساڤا,رضيع,sava
infant,şîrxwer,شیرخوه‌ر,رضيع,sheerxwer
humid,rîtubet,ریتوبەت,رطب,reetubet
humid,şih,شھ,رطب,shuḧ
moist,şil,شل,رطب,shul
stub,"binike dar , kotike dar",بنکەدار ، کۆتکەدار,رطم,"bunuke dar , kotuke dar"
humidity,"rîtûbet , wexim",ریتووبەت ، وەخم,رطوبة,"reetûbet , wexum"
humidity,şilî,شلی,رطوبة,shulee
moisture,şilatî,شلاتى,رطوبة,shulatee
care,çare kirin,چاره‌ کرن,رعاية,chare krun
care,çareser kirin,چاره‌سه‌ر کرن,رعاية,chareser krun
care,derman kirin,ده‌رمان کرن,رعاية,chareser krun
caring,sexbêrkirin,سه‌خبێرکرن,رعاية,sexbêrkrun
caring,sexbêrî,سه‌خبێری,رعاية,sexbêree
care for …,pwîteyi bi ... didet,پویتەی ب ... ددەت,رعاية ...,pweeteyu bu ... dudet
fright,tirs,ترس,رعب,turs
horror,tirris,تڕس,رعب,turrus
thunder,birûsk,برووسک,رعد,gur gum
thunder,gûrgûr,گوورگوور,رعد,gur gum
pastoral,şivanî,شڤانى,رعوي,shuvanee
desire,"arezû, hewes",ئاره‌زوو، هه‌وه‌س,رغبة,"arezû, ḧewes"
desire,pê şad bûn,پێ شاد بوون,رغبة,murad
desire,"dixwazît , ḧez",دخوازیت ، حەز,رغبة,"duxwazeet , ḧez"
desire,mirad,مراد,رغبة,murad
wish,îrade,ئیراده‌,رغبة,eerade
wish,daxwaz kirin,داخواز کرن,رغبة,daxwaz krun
wish,hêvî kirin,هێڤی کرن,رغبة,ḧêvee krun
although,sererray,سه‌ره‌ڕای,رغم أن,sererray
although,li ser hindê ra,ل سەر ھندێ را,رغم أن,lu ser ḧundê ra
although,her çende,ھەر چەندە,رغم أن,ḧer chende
even though,tevî ku,ته‌ڤی کو,رغم أن,ḧundee
even though,herçend,هە‌رچە‌ند,رغم أن,ḧundee
foam,kef,کەف,رغوة,kef
loaf,nanek,نانەك,رغيف,nanek
bookshelf,bufî,بوفی,رف كتب,bufee
denied,ret kir,رەت کر,رفض,ret kr
deny,ḧaşa kirin,حاشا کرن,رفض,"ḧasha krun, ḧashatee krun"
deny,ret diket,رەت دکەت,رفض,ret duket
deny,red kirin,ڕه‌د کرن,رفض,ret duket
deny,mandel kirin,ماندەل کرن,رفض,mandel krun
deny,haşatî kirin,هاشاتی کرن,رفض,"ḧasha krun, ḧashatee krun"
dismiss,berdan,به‌ردان,رفض,"belakrun , peshkleen , veqeteen"
dismiss,verevandin,ڤه‌ره‌ڤاندن,رفض,tursandun
dismiss,verevîn,ڤه‌ره‌ڤین,رفض,"belakrun , peshkleen , veqeteen"
refuse,retkirin,ره‌تكرن,رفض,retkrun
refuse,redkirin,ڕه‌دکرن,رفض,redkrun
refuse,qebîl nekirî,قەبیل نەکری,رفض,qebeel nekree
reject,"retkirin, red kirin",رەتكرن، ڕه‌د کرن,رفض,"retkrun, red krun"
reject,qebûl nekirin,قه‌بوول نه‌کرن,رفض,qebûl nekrun
reject,nepejrandin,نه‌په‌ژراندن,رفض,nepezhrandun
rejected,retikir,رەتكر,رفض,retukr
turn down,"refzikir , kêm kirin",رەفزکر ، کێم کرن,رفض,"refzukr , kêm krun"
elevate,payeberz kirin,پایه‌به‌رز کرن,رفع,navneeshek zhêburun
lift,rakirin,راكرن,رفع,rakrun
lifting heavy loads and back pain,hilgirtina barên giran û pişt êşan,هلگرتنا بارێن گران و پشت ئێشان,رفع الأحمال الثقيلة وآلام الظهر,ḧulgurtuna barên guran û pusht êshan
nominative,barê kirdarî,بارێ كردارى,رفع قواعد,barê krdaree
lift!,rake,ڕاکە,رفع!,rake
shelf,rifatik,رفاتك,رفوف,rufatuk
buddy,hugir,ھوگر,رفيق,ḧugur
shipmate,hevalê gemiyê,هه‌ڤالێ گه‌میێ,رفيق السفينة,hevalê gemiyê
crisps,çipis,چپس,رقائق البطاطس,chupus
censored,çavdêrîkirî,چاڤدێریکری,رقابة,chavdêreekree
censored,nehêlayî,نه‌هێلایی,رقابة,neḧêlayee
wafer,parçeka pskîtê,پارچەكا پسكیتێ,رقاقة,parcheka pskeetê
dance,"dawetê diket , dawet",داوەتێ دکەت ، داوەت,رقص,"dawetê duket , dawet"
dance,sema kirin,سه‌ما کرن,رقص,"dawetê duket , dawet"
dancing,"dawet, govend",داوه‌ت، گۆڤه‌ند,رقص,"dawet, govend"
dancing,serinakirin,سه‌رناکرن,رقص,serunakrun
dancing,sema,سه‌ما,رقص,sema
dancing of circle,govend,گۆڤه‌ند,رقص,govend
car number,jimara tirumbêlê,ژمارا ترومبێلێ,رقم السيارھ,zhumara turumbêlê
digital,dîcîtal,دیجیتال,رقمي,deejeetal
slave,"benî, bend",بەنی، بەند,رقيق,"benee, bend"
slave,"xulam , xudam , kwîl",خولام ، خودام ، کویل,رقيق,"xulam , xudam , kweel"
slave,"ebid, 'ebîd",عه‌بد، عه‌بید,رقيق,"ebud, 'ebeed"
thin,tenik,تەنك,رقيق,tenuk
thin,irav,زراڤ,رقيق,urav
thin,ze'îf,زەعیف,رقيق,ze'eef
knee,çuk,چوك,ركبة,chuk
kneel,xudçemînît,خودچەمینیت,ركع,xudchemeeneet
kick,pên lê dan,پێن لێ دان,ركلة,pên lê dan
corner,qulaç,قولاچ,ركن,qulach
corner,kujî,کوژی,ركن,kzhee
ride,siyarbu,سیاربو,ركوب,suyarbu
ride,lê siwar bûn,لێ سوار بوون,ركوب,lê suwar bûn
cycling,ajutina paysklî,ئاژوتنا پایسکلی,ركوب الدراجات,azhutuna paysklee
ash,xulî,خولی,رماد,xulee
ash,xolî,خۆلی,رماد,xolee
ash,heş,ھەش,رماد,ḧesh
pomegranate,hinar,ھنار,رمان,ḧunar
lance,rim,رم,رمح,rum
pike,rim,رم,رمح,rum
spear,rim,رم,رمح,rum
symbol,çeveng,چه‌ڤه‌نگ,رمز,"ḧêma , ḧeema"
symbol,nîşan,نیشان,رمز,neeshan
symbol,hêma,هێما,رمز,"ḧêma , ḧeema"
symbol of honor,hêmayê şeref,هێمایێ شەرەف,رمز الشرف,ḧêmayê sheref
eyelash,mjîlanik,مژیلانك,رمش,mzheelanuk
sand,xîz,خیز,رمل,xeez
sand,remil,ڕه‌مل,رمل,xeez
throw,avêtin,ئاڤێتن,رمي,"davêzheet , ḧavêtun"
throw,havêtin,ھاڤێتن,رمي,"davêzheet , ḧavêtun"
throw (with a target in view),têwerkirin,تێوه‌رکرن,رمي,têwerkrun
stone (v),berbaran kirin,بەرباران کرن,رمي حجر,berbaran krun
throw on,werkirin,وەرکرن,رمي على,"davêzheet , ḧavêtun"
throw!,pavêje,پاڤێژە,رمي!,pavêzhe
pitch,qîr,قیر,رمية,qeer
pitch,qêrr,قێڕ,رمية,qêrr
bet,şert,شەرت,رهان,shert
horrible,bitirs,بترس,رهيب,adul
horrible,toqîner,تۆقینه‌ر,رهيب,adul
horrible,xofnak,خۆفناک,رهيب,adul
xenophobia,jibiyaniya bitirist,ژبیانیا  بیترست,رھاب الأجانب,zhbuyanuya buturust
pawn,girew diket,گرەو دكەت,رھن,gurew duket
hostage,deseserikirêyi bi merc,دەسەسەركرێى ب مەرج,رھينة,deseserukrêyu bu merj
magma,şilbuwî,شلبووی,رواسب,shulbuwee
narration,çîruk,چیروك,رواية,cheeruk
novel,ruman,رومان,رواية,ruman
dung,zibil,زبل,روث,navneeshek zhêburun
soul,"can , derûn",جان ، دەروون,روح,"jan , derûn"
soul,gîyan,گیان,روح,geeyan
Spirit,can,جان,روح,jan
Spirit,ruh,ڕوھ,روح,ruḧ
Spirit,giyan,گیان,روح,guyan
spiritual,ruhanî,ڕوهانی,روحي,"ruḧanee, guyanee, ruḧee"
spiritual,ruhî,ڕوهی,روحي,"ruḧanee, guyanee, ruḧee"
spiritual,giyanî,گیانی,روحي,"ruḧanee, guyanee, ruḧee"
Russia,rusîya,روسیا,روسيا,ruseeya
kindergarten,baxçî zaruka,باخچى زاروكا,روضة أطفال,baxchee zaruka
splendor,rewneq,ڕه‌ونه‌ق,روعة,pêchan
splendor,spehî,سپه‌هی,روعة,pêchan
Romanian,romanî,ڕۆمانی,روماني,romanee
Romania,romaniya,رۆمانیا,رومانيا,romanuya
Romeo and Juliet,mem û zîn,مەم و زین (چیرۆکا کوردی),روميو وجوليت,mem û zeen
irrigation,avdan,ئاڤدان,ري,avdan
wind,ba,با,رياح,ba
wind,hewa,ھەوا,رياح,ḧewa
gymnastics,yarît werizşî,یاریت وەرزشى,رياضة بدنية,yareet weruzshee
athlete,atlet,ئاتله‌ت,رياضي,"weruzshvan , atlet"
athlete,werizşvan,وه‌رزشڤان,رياضي,"weruzshvan , atlet"
athletic,atletik,ئاتله‌تک,رياضي,atletuk
uncertainty,guman,گومان,ريبة,guman
uncertainty,nediyarî,نه‌دیاری,ريبة,neduyaree
basil,riḧan,رحان,ريحان,ruḧan
nip,perr,پەڕ,ريش,perr
feather,"per , pîrît",پەر ، پیریت,ريشة,"per , peereet"
plume,per,پەر,ريشة,per
sail,baberik,بابه‌رک,ريشة,ta
feather duster,frça tuzê,فرچا توزێ,ريشة، خشن,frcha tuzê
rural,pesar,په‌سار,ريفي,pesar
rural,"gundewar, şiryar",گونده‌وار، شریار,ريفي,"gundewar, shuryar"
rural,gundî,گوندی,ريفي,gundee
monotony,bêzarî,بێزارى,ریتابة,bêzaree
monotonous,bê zar,بێ زار,ریتيب,bê zar
kurdish letter 13 (“z” sound),z,ز,ز,z
mercury,zawe,زاوە,زئبق,"etard , zawe"
mercury,etard,عەتارد,زئبق,"etard , zawe"
quicksilver,zîbeq,زیبەق,زئبقي,zeebeq
plus,zaîd,زائید,زائد,zaeed
plus,zêde,زێدە,زائد,zêde
visitor,seredêr,سه‌ره‌دێر,زائر,seredêr
visitor,mêvan,مێڤان,زائر,mêvan
reptile,xişuk,خشوك,زاحف,xushuk
sower,tovçîn,تۆڤچین,زارع,tovcheen
adulterer,"dehimen pîs , zinaker",دەھمەن پیس ، زناکەر,زانية,"deḧumen pees , zunaker"
angle,qunc,قونج,زاوية,gushe
angle,guşe,گوشە,زاوية,gushe
right angle,stêl,ستێل,زاوية مستقيمة,gushe
right angle,gûç,گووچ,زاوية مستقيمة,gushe
right angle,gozeka rastê,گۆزه‌کا ڕاستێ,زاوية مستقيمة,gushe
right angle,goşa 90 pile,گۆشا ۹۰ پله‌,زاوية مستقيمة,gushe
right angle,goşeya tîk,گۆشه‌یا تیک,زاوية مستقيمة,gushe
yogurt,mast,ماست,زبادي,mast
butter,nîvşk,نیڤشك,زبدة,neevshk
client,"bikir, mişterî",بکر، مشته‌ری,زبون,"bukr, mushteree"
client,kriyar,کریار,زبون,kruyar
customer,bikir,بكر,زبون,bukr
raisin,mêwîj,مێویژ,زبيب,mêweezh
glass,şîşe,شیشە,زجاج,sheeshe
bottle,şûşe,شووشە,زجاجة,shûshe
bottle (big),dibî,دبی,زجاجة (كبيرة),dubee
water Bottle,kîska avê,كیسكا ئاڤێ,زجاجة ماء,keeska avê
glassy,wek şîşey,وەك شیشەى,زجاجي,wek sheeshey
crawl,xişînît,خشينيت,زحف,xusheeneet
crawl,xişîn,خشین,زحف,xusheen
crawl,li ser çengan çun,ل سه‌ر چه‌نگان چون,زحف,lu ser chengan chun
crawling,xişok,خشۆک,زحف,xushok
creep,xwişîn,خوشین,زحف,"shreen, jan"
creep,xwe xuşandinî,خوه‌ خوشاندنی,زحف,"shreen, jan"
Saturn,"zuḧl , keywan",زوحل ، کەیوان,زحل,"zuḧl , keywan"
decoration,nexşandin,نەخشاندن,زخرفة,nexshandun
ornament,dxemilînît,دخەملینیت,زخرفة,dxemuleeneet
button,bişkoj,بشکۆژ,زر,bushkozh
button (mechanical),dugim,دوگم,زر,dugum
button (on clothes),qopçe,قۆپچه‌,زر,qopche
seeding,tovkirin,تۆڤکرن,زراعة,tovkrun
agricultural,erdê çandinê,ئەردێ چاندنێ,زراعي,erdê chandunê
giraffe,zerafe,زەرافە,زرافة,zerafe
cultivate,çandin,چاندن,زرع او صقل,chandun
fin,şaper,شاپەر,زعنفة,shaper
fin (of a fish),"dûvka masiyan, kilka masiyan",دووڤکا ماسیان، کلکا ماسیان,زعنفة,"dûvka masuyan, klka masuyan"
elder,rîhspî,ریھسپی,زعيم,reeḧspee
leader,"birêvebir, pêşeng",برێڤه‌بر، پێشه‌نگ,زعيم,"serkêsh, burêvebur, pêsheng"
leader,serkêş,سه‌رکێش,زعيم,"serkêsh, burêvebur, pêsheng"
leader,serok,سه‌رۆک,زعيم,serok
wedding,"dawet , dehwet",داوەت ، دەھوەت,زفاف,"dawet , deḧwet"
wedding,şehyan,شەھیان,زفاف,sheḧyan
exhale,nefes xo bîne derê,نەفەس خۆ بینە دەرێ,زفر,nefes xo beene derê
alley,kulan,كولان,زقاق,klan
dumpling,givişk,گڤشک,زلابية,guvushk
earthquake,"erd hejî , erd hejan",ئه‌رد هه‌ژی ، ئه‌رد هه‌ژان,زلزال,"erd ḧezhee , erd ḧezhan"
earthquake,bîveleriz,بیڤه‌له‌رز,زلزال,beeveleruz
earthquake,zilzal,زلزال,زلزال,zulzal
quake,cerbezî diket,جەربەزى دكەت,زلزال,jerbezee duket
slippery,teḧsandin,تەحساندن,زلق,teḧsandun
slippery,ḧulîsanik,حولیسانك,زلق,ḧuleesanuk
nectarine,tereqî,تەرەقی,زليقة,tereqee
fellowship,pişikdarî,پشکداری,زمالة,"ḧevpushuk, pushukdaree"
fellowship,cemiyet,جه‌میه‌ت,زمالة,"ḧevpushuk, pushukdaree"
fellowship,hevaltî,هه‌ڤالتی,زمالة,"ḧevpushuk, pushukdaree"
fellowship,hevparî,هه‌ڤپاری,زمالة,"ḧevpushuk, pushukdaree"
fellowship,hevpişkî,هه‌ڤپشکی,زمالة,"jemuyet, komele"
emerald,zemirûd,زەمروود,زمرد,zemurûd
classmates,hevalên pulê,ھەڤالێن پولێ,زملاء الصف,ḧevalên pulê
co-workers,hevkarên,هه‌ڤکارێن,زملاء عمل,"xal , shanuk , merem"
colleague,hevalê karî,هه‌ڤالێ کاری,زميل,ḧefsar
colleague,hevkar,هه‌ڤکار,زميل,ḧefsar
fellow,hefalî,ھەفالى,زميل,ḧefalee
mate,"heval, dost, hevrê, brader",هه‌ڤال، دۆست، هه‌ڤرێ، براده‌ر,زميل,"ḧeval, dost, ḧevrê, brader"
classmate,hevalê xwandinê,ھەڤالێ خواندنێ,زميل الدراسة,ḧevalê xwandunê
co worker,hevkar,هەڤکار,زميل عمل,ḧevkar
co-worker,hevkar,هەڤکار,زميل عمل,ḧevkar
playmate,hugirê yarî yan,ھوگرێ یاری یان,زميل في اللعب,ḧugurê yaree yan
lily,zîbeq,زیبەق,زنبق,zeebeq
ginger,zencebîl,زەنجەبیل,زنجبيل,zenjebeel
zinc,tûtiya,تووتیا,زنك,tûtuya
zinc,çînko,چینکۆ,زنك,cheenko
zinco,tûtiya,تووتیا,زنك,"cheenko , tûtuya"
zinco,çînko,چینکۆ,زنك,"cheenko , tûtuya"
blossom,bişkoj,بشکۆژ,زهر,bushkozh
blossom,"kulîlk, kulîlk vekirin",کولیلک، کولیلک ڤه‌کرن,زهر,"kleelk, kleelk vekrun"
flower,gul,گول,زھرة,gul
flower with dew,gul xunava,گول خوناڤا,زھرة الندى,gul xunava
marriage,jin û mêr,ژن و مێر,زواج,zhun û mêr
marriage,mare,ما‌رە,زواج,mare
marriage,mehir,مه‌هر,زواج,meḧur
meridian,dirêje hêl,درێژە ھێل,زوالي,durêzhe ḧêl
whirlwind,babelîsk,بابه‌لیسک,زوبعة,babeleesk
pair,cût,جووت,زوج,jût
pair,cot,جۆت,زوج,jot
stepfather,zir bab,زر باب,زوج الأم,zur bab
wife,jin,ژن,زوجة,zhun
wife (house),jin,کابانی,زوجة,zhun
brother's wife,jinbra,ژنبرا,زوجة أخي,zhunbra
stepmother,jin bab,ژن باب,زوجة الأب,zhun bab
daughter-in-law,bîk,بیك,زوجة الإبن,beek
dingy,kirêt,کرێت,زورق,krêt
dingy,gemar,گه‌مار,زورق,gemar
zoom,bilind dibît,بلند دبیت,زوم,bulund dubeet
zoom,bilindbûna demildest,بلندبوونا ده‌ملده‌ست,زوم,bulundbûna demuldest
costume,cil û berig,جل و بەرگ,زي,jl û berug
increase,ptirdiket,پتردكەت,زيادة,pturduket
increase,zêde bûn,زێده‌ بوون,زيادة,pturduket
increase,mişe bûn,مشه‌ بوون,زيادة,pturduket
visit,ziyaret,زیاره‌ت,زيارة,zuyaret
visit,seredan,سه‌ره‌دان,زيارة,seredan
lubricate,run diket,رون دكەت,زيت,run duket
olive oil,zeyt,زەیت,زيت الزيتون,zeyt
vegetable oil,rûnê helezî,ڕوونێ هه‌له‌زی,زيت نباتي,zeruzewat
olive,zeytun,زەیتون,زيتون,zeytun
chrysolite,yaqutê zeytûnî,یاقوتێ زەیتوونی,زيتوني,yaqutê zeytûnee
oily,runî,رونى,زيتي,runee
fake,sexte,سه‌خته‌,زيف,sexte
fake,nerast,نەراست,زيف,nerast
kurdish letter 12 (“rr” sound),ṙ,ڕ,ڕ,ṙ
kurdish letter 14 (“zh” sound),j,ژ,ژ,zh
kurdish letter 15 (“s” sound),s,س,س,s
x,pîta bîst,پیتا بیست,س,peeta beest
query,"prisiyar , prisîn",پرسیار ، پرسین,سؤال,"prusuyar , pruseen"
query,dipirist,دپرست,سؤال,dupurust
question,pirisiyar,پرسیار,سؤال,purusuyar
miss,"xerîb bûn , xerîba kirin",خەریب بوون ، خەریبا کرن,سئم,"xereeb bûn , xereeba krun"
miss (long for),"xerîb bûn , xerîba kirin",خەریب بوون ، خەریبا کرن,سئم,"xereeb bûn , xereeba krun"
weary,mandî,ماندی,سئم,mandee
tourist,"rêving, rêwî",ڕێڤنگ، ڕێوی,سائح,"rêvung, rêwee"
tourist,seyiranî,سەیرانی,سائح,"geshutuyar , seyuranee"
tourist,geşitiyar,گەشتیار,سائح,"geshutuyar , seyuranee"
prevalent,bela bwîy,به‌لا بویی,سائد,bela bweey
driver,şufêr,شوفێر,سائق,shufêr
screwdriver,der nefîs,دەر نەفیس,سائق المسمار,der nefees
